,growth_rate,mean_biomass,median_biomass,max_biomass,min_biomass,std_biomass,mean_patch_count,mean_mean_patch_size,std_mean_patch_size,ln_num_avg_patch_int,ln_num_avg_patch_slope
0,0.001,0.9506992347023661,0.9495956398947853,0.9672377170001377,0.9354856834731152,0.005744256979547807,1.102,8067.411,1279.5812227795902,9.045788543232142,-0.9991447172620603
1,0.001,0.9569316521812413,0.9564683590371916,0.9701678870542281,0.9439662560013851,0.005466691206477139,1.104,8075.895,1301.269786967714,9.050040447257691,-1.0003668108483343
2,0.001,0.953217810232576,0.9527003971518955,0.9690806952507355,0.9402223376585327,0.004667337603033828,1.05,8285.467,927.6311731561202,9.047579388960267,-1.000917190538915
3,0.001,0.9659728543497385,0.9642760163281625,0.9935140105035476,0.9503347657650082,0.00893331036596764,1.082,8260.857166666667,1157.2435614190563,9.055928500235725,-1.0009873072314435
4,0.001,0.9516890603414195,0.9493425840231159,0.9775246796986586,0.9385390399290605,0.008092190268223751,1.12,7985.86,1389.090325860777,9.047601787391876,-1.0073419293592496
5,0.054,9.871041677986641,9.896692037406332,10.581278421711605,8.98123981098536,0.30759184112485705,6.064,2647.6784522664193,2286.133242204064,9.143591517810282,-1.015735077883235
6,0.054,9.94020396323113,9.955736144062557,10.92659519975397,8.858744122620891,0.38528933920338215,6.31,2500.5471384277575,2145.1957402932467,9.148213138536052,-1.01841687308249
7,0.054,9.94882637561151,9.950317693105776,10.709419427727365,9.120019300923639,0.2874696481348793,5.968,2560.3183090102107,2204.0243278501025,9.14517273110893,-1.0157139745621504
8,0.054,9.811026388065365,9.816917339701604,10.70616647381811,8.969186132479203,0.3216788358424697,6.274,2510.027472440838,2203.4610720360815,9.144089163732644,-1.0156702038207313
9,0.054,9.845978212091222,9.846152429194127,10.684571668760636,9.043829636710127,0.28889116914360435,6.02,2643.7444405436454,2369.1450183387014,9.140875114694039,-1.014285325741554
10,0.106,10.318646648223835,10.320432951563872,11.613222013665409,9.286949782778608,0.4319934201349862,12.57,1510.985337037849,1855.1887397375403,9.135669837804762,-1.0257602582600154
11,0.106,10.301320171018096,10.282207685172114,11.964459421290698,9.223410128810821,0.4882907291878795,12.778,1428.7084983784696,1804.849870027557,9.13843645695696,-1.0261711385585472
12,0.106,10.167660202937297,10.197663250965627,11.882344024094031,8.448754493422287,0.6054623314005866,12.504,1457.125472215058,1803.1579968988358,9.14154025769283,-1.0293589506402945
13,0.106,10.18637556440442,10.219648144783989,11.880916883940177,8.697533212528208,0.5784991526918081,12.95,1336.5854240509273,1521.5240284544627,9.141847014890596,-1.028395561348059
14,0.106,10.346115264271601,10.367891454557386,11.90175156857561,8.98346405892436,0.5372333302483421,12.62,1277.6761152122822,1363.0960628591274,9.14752149236299,-1.0302876971981931
15,0.159,10.344652880974348,10.335709899093164,12.476894261902737,7.531795276627147,0.8391991163254028,19.53,911.710555074493,1122.9752119015293,9.151751702890563,-1.042151199989543
16,0.159,10.468660786534725,10.42242121892809,12.325991332119159,8.899054939013144,0.610407540039133,18.442,890.9049246597048,1134.8421410289145,9.13997715925801,-1.037106172227109
17,0.159,10.395409828699336,10.436891485531929,12.115143415594732,8.725894274487654,0.5737967040330637,19.064,850.8414897392962,1031.910359642547,9.146017964695854,-1.038694196110601
18,0.159,10.36523109940439,10.33831153034991,11.815237643992166,8.540924453678757,0.5794346889396852,18.812,822.8636077732663,1032.2171526988766,9.133850065118455,-1.0349928471613292
19,0.159,10.325043364854212,10.250624111718512,12.108303210717171,8.582885103052934,0.6457478298521103,18.97,856.3738842890779,1030.7750499138558,9.146875020857992,-1.040420948176769
20,0.211,10.604445817155847,10.587138221870628,12.854056024379718,8.399401906830178,0.7983732365183518,24.022,666.5581485257703,877.3893610870377,9.155479858724481,-1.0491772349543214
21,0.211,10.496996248418101,10.494065385127072,12.779262054250838,8.283906962115243,0.7708784453068617,24.648,679.9300125107621,926.2536180276574,9.149083112436774,-1.0477579053152712
22,0.211,10.514936069586637,10.469315136149511,12.292691676972755,8.91084483986146,0.6434630894543341,24.888,611.896212491242,759.435169302583,9.142810972739863,-1.0447267662086683
23,0.211,10.421316382488344,10.454525945018698,11.982470820230297,8.506233079839065,0.6467110892122934,25.214,645.6876102152303,962.0069534797591,9.14051558935376,-1.0443715414322008
24,0.211,10.49052954362514,10.546022021459624,12.792767019855177,8.242874756248689,0.8775427244441363,24.474,781.92434226658,1174.7264316224216,9.155970473050898,-1.0506924244355387
25,0.264,10.610477681279567,10.655025348492117,12.37641097793044,8.690959375031982,0.810602685432822,28.808,489.6586083030162,522.1048123801394,9.16871037306196,-1.0593482582130616
26,0.264,10.650680960613471,10.651991840465186,13.187673954108588,7.565330991652106,0.9336374408199897,29.772,655.26887918207,1073.9859355006224,9.155755341738645,-1.0557565556321402
27,0.264,10.63835061527144,10.723094580331985,13.465914628699107,7.307752176214793,0.9732426240244201,30.748,606.1901980721427,926.3152440187349,9.169119716995617,-1.059618536945908
28,0.264,10.592978766842913,10.580078824496766,12.57965480218394,8.734075411635214,0.7772914784942102,30.142,556.285536046785,934.4570834298884,9.146886522913299,-1.0520219822547645
29,0.264,10.648394839964855,10.629143438967688,12.709849767176198,8.402857439220698,0.7921310088524873,30.168,547.3277652360773,855.6414052669819,9.152570272439643,-1.0534665806070684
30,0.316,10.719670263355875,10.753540003132883,12.979932385208256,8.412744624233037,0.8571949019753974,33.678,419.5353197001855,492.74312266376154,9.167977923995204,-1.062818908333907
31,0.316,10.712382137050376,10.684334319539886,13.069666525591256,8.46737661306749,0.9137400086697604,33.904,484.1606021339471,779.0237300563546,9.164315787716136,-1.0623022460702014
32,0.316,10.76309690686667,10.735213838733024,13.300352050164935,8.499212641669148,0.8640973468337131,33.55,458.37475090483775,692.8314312332869,9.169597155999279,-1.0634539835893253
33,0.316,10.691170020547943,10.69257485187616,13.376233862992484,8.305690735142278,0.9351309454702312,34.17,494.1649694674993,758.1385120089068,9.165498188588446,-1.0632970679515186
34,0.316,10.619156902259517,10.59550786017402,13.069803526863417,8.25867513001851,0.8604951406282559,33.818,452.7919520546427,702.7330432459763,9.158845024931496,-1.0611008233647492
35,0.369,10.782537286120075,10.777350851471887,13.26933663450767,7.468847948508669,1.0130790612550356,38.436,432.898674475558,739.9874038925808,9.162578800624518,-1.066122746422851
36,0.369,10.815165613716502,10.827111511841524,13.600201209331514,7.269229843433946,1.0899264251524299,38.234,423.467465392339,616.6166039285447,9.192039915538448,-1.0747999281214715
37,0.369,10.827092090147994,10.811243309236769,13.313961380386854,8.383436419775625,0.9236683617223864,38.326,496.9948036794013,935.1904334212657,9.153812140457045,-1.0635893612539176
38,0.369,10.730894225243246,10.74748401867721,13.52708490798639,7.2053815767848635,1.1005842455174057,38.134,428.723827492935,625.3400854075176,9.182213012923404,-1.0731270564328756
39,0.369,10.842676700532008,10.936720185188644,13.311989648659333,7.669724938735887,1.0097709808960373,38.128,426.50662799849607,699.2736142873769,9.1691101604361,-1.067230772440239
40,0.422,10.936143892400818,10.975653651498668,14.400667613742282,7.5210606283830215,1.1564207602202703,41.768,449.820725434792,781.2332499875004,9.164884969186147,-1.0702689022765612
41,0.422,10.884588994763838,10.903351959144338,13.77742860398012,8.19885113247792,0.9861770647705018,42.354,367.6168007533768,556.4862075042545,9.186607061325423,-1.0758693223299645
42,0.422,10.872863212693984,10.862608530036582,13.656539134448817,8.316606743076994,0.9544131124035545,42.532,318.831852935276,436.8737989063676,9.190014490644291,-1.0758300240743213
43,0.422,10.884236399853664,10.919841677744522,13.555040879385052,7.917349950990107,0.9488689535931477,41.462,355.2590439241804,622.7862929904571,9.178002490034062,-1.073255741285048
44,0.422,10.810887981751911,10.766442424249657,14.505209374321593,7.916598423075773,1.247245048825067,44.342,432.57559298156053,779.9759378987418,9.197174398490981,-1.080413746943121
45,0.474,10.935743489280023,10.929205157592683,14.561760870112147,8.273645416703703,1.1817930308814992,45.636,340.0468757299321,440.2511202679485,9.210749010408444,-1.0859317416076921
46,0.474,10.89419674268637,10.930240157027441,13.67963489210232,7.739233841600307,1.1125119593948274,44.97,327.93428284903047,517.440266241796,9.196379221580077,-1.0821458137560847
47,0.474,10.907206189414763,10.946507339122327,13.38572888846797,7.447738197596106,1.0666063099286665,45.634,324.6121414609446,449.53562870745407,9.193056805078255,-1.080840326676957
48,0.474,10.931543579245066,10.94852687061561,13.561955175937511,7.898847942379981,0.9707249261711824,44.834,322.1970863080294,436.6416633703067,9.178911865313996,-1.0762454864565831
49,0.474,10.955514052678508,10.857416984717771,14.015618172144896,7.903859318268826,1.124970322467422,45.878,384.1728691665924,785.3313831508442,9.187534072525366,-1.079059334605414
50,0.527,11.02365111401684,11.000944298414808,13.970456273228242,8.159791918344482,1.0989156742601178,48.156,312.0474420993654,401.3714650285782,9.185811468965897,-1.080902597215314
51,0.527,11.025135386004722,10.99313509167079,14.27796034140237,7.778247064517278,1.148952948181957,48.228,349.8035183149612,660.6344679924,9.191774451514062,-1.0834797207551368
52,0.527,10.909113474330065,10.940790553759046,13.932784437628067,8.159139774498472,1.0849806907305892,49.094,311.17726581567285,568.2125516931023,9.19877839616689,-1.0851645650436328
53,0.527,11.017377627064443,11.04178645206698,14.642053076906729,7.5965644898259805,1.242041403676963,49.442,333.77624286905666,670.0638324157661,9.185294462312042,-1.080581769015055
54,0.527,10.962544263417223,11.028185957333452,14.196800007367623,8.100934545940426,1.2798368130237896,49.036,363.5841385683012,649.9052547630405,9.19094732537764,-1.084061970219952
55,0.579,11.069999153599476,11.107211113410116,14.253393120625272,7.92422847277172,1.156605735257432,50.85,319.09749341202075,596.9767233576202,9.174470023061236,-1.0806848044831345
56,0.579,10.999962216457385,10.982977482345195,15.073008672706345,7.582192204068843,1.304410857326844,51.78,298.28930256369244,492.7545935995736,9.209357930442003,-1.090522121816081
57,0.579,11.0046809318801,10.968384691805836,14.816265354467683,7.178647566492211,1.2486213510650708,51.82,320.43430675482017,601.351447136001,9.197570428416917,-1.087557871012717
58,0.579,10.971721515812497,10.849930982357357,14.654238684153633,7.790089100462192,1.426564117415194,51.908,336.36283953325415,592.5498848049618,9.214850010084417,-1.093600692908782
59,0.579,10.967113319097997,10.960403374811337,14.277652950857233,7.84974557422934,1.1663867836666462,51.942,325.57223566835125,682.7443706879516,9.173430017865936,-1.0812568591489151
60,0.632,11.086092032986302,11.057360905129318,15.019466272003163,7.539002124413588,1.3192233782118334,54.808,272.37362678156654,501.8089824584125,9.22915245840597,-1.0974715737005816
61,0.632,11.13020795821092,11.20175910011642,14.417764543844948,7.196754542431234,1.35967640075932,54.648,269.61422693917575,341.95830978936834,9.235963341597431,-1.0995543792657625
62,0.632,11.074896489630481,11.058930078613185,14.071193587951988,7.5564437655483925,1.2779141180250049,54.664,240.2343696389808,325.6826936254161,9.250981895328728,-1.1027741671867952
63,0.632,11.074236517550142,11.125682223935733,14.98467899156558,7.460221522396634,1.3439242634716477,54.316,266.6370280572097,349.65252844307213,9.231015521004052,-1.098661200038051
64,0.632,11.049698594467364,11.009650051003131,14.489734350306657,7.805444958827035,1.2013573887206326,54.068,237.20743428145113,254.2721413557102,9.244412279566703,-1.1012288638326013
65,0.685,11.172453500045252,11.198936475700023,14.479579649017117,7.779694296954779,1.195925007996945,56.396,251.40149045240412,362.4080588363076,9.205352992953824,-1.0927865556156844
66,0.685,11.204315821481867,11.272953961995176,15.061669553575607,7.826754794198586,1.2775819889438977,56.17,276.00692380963676,510.5118410277819,9.195325008186947,-1.089681094820288
67,0.685,11.189325296296468,11.227978100718765,14.624816248266493,7.517268942117782,1.262110031813256,55.242,268.3368664655128,393.4239173716027,9.201983905396483,-1.0919522007794253
68,0.685,11.119870721902672,11.12596536649118,15.316322104378754,7.524778343092068,1.3646906837122064,57.292,286.96791688618333,556.6047852815732,9.20791524120566,-1.0942977111631622
69,0.685,11.086806002636692,11.109544376718187,15.731161951688362,6.583907303089944,1.622502019735542,59.326,346.2239994795908,747.0484599672805,9.20861212910155,-1.0962744124988892
70,0.737,11.246853165107376,11.333519862174867,14.945797236007298,7.472449080928693,1.4329836903353874,58.72,237.6239112819361,288.219551113071,9.262372880495532,-1.1097188259008859
71,0.737,11.212181657416506,11.16176762229113,14.60355229413947,7.604865811341589,1.2465326168418092,58.682,263.4773568714582,503.65777510752065,9.198537059052253,-1.0928893588277198
72,0.737,11.289655285722523,11.217739984222323,15.087719120400635,7.5486606611219,1.4905105171046313,59.38,318.1755212945898,737.8742055616137,9.207354879741796,-1.0953897993607222
73,0.737,11.220788406651627,11.244767430844082,14.596318907904537,6.888609195570075,1.3913452752245692,59.216,221.3303216500107,299.48021685554437,9.270770226584412,-1.1107986909103826
74,0.737,11.233393382283749,11.163626393889258,14.853327068679535,6.1745278481107615,1.3735813182337329,59.262,291.6273058243117,649.8528182237422,9.19304292585284,-1.0913852680238874
75,0.79,11.163610352443659,11.158677706209048,15.171663703821757,7.216744057677394,1.4413294951948723,60.616,237.01086756365234,441.3661617468647,9.244435531707053,-1.1082007336560118
76,0.79,11.252975217099905,11.354782356877365,14.280381974329694,7.300963884202253,1.39966232428198,61.038,248.726280613499,357.71620500087505,9.225540822702866,-1.1020992478858362
77,0.79,11.235637563528144,11.274582737673747,15.832689036953237,6.896867205898759,1.2933750991136495,61.784,226.10491685827262,449.70196480434845,9.23818201936309,-1.1038365452514214
78,0.79,11.2308302439045,11.208441763802899,15.163925574557242,7.324482596350097,1.441292792739954,61.232,250.22553884075472,443.08268779335805,9.238850018685483,-1.1059421137679484
79,0.79,11.26282893124918,11.303597492964638,15.61592936911824,7.067801911129002,1.5197245630045406,61.13,252.96582926163444,332.7885670071416,9.236041787575353,-1.105303132825951
80,0.842,11.374060348709751,11.429563874642131,15.706638747953935,7.310930554902466,1.368260849013855,62.658,207.16281321189032,240.73062522932818,9.259089918019153,-1.1100020598742637
81,0.842,11.309311057765346,11.383683979487856,15.567163784296767,6.2241813540009705,1.554008468396825,64.47,218.39581852409188,288.7116739133535,9.265186186332137,-1.1128128979837753
82,0.842,11.373075612885566,11.359199779835691,14.643765352885035,8.361193980357536,1.247698950589803,62.896,244.86412293071194,498.2795184372242,9.197532472033707,-1.094737159651384
83,0.842,11.280906255663442,11.296469415960317,14.675862536621489,7.444651178303761,1.3809355244550425,64.208,208.18955695712447,260.3247027485563,9.265156884485911,-1.1124236010952304
84,0.842,11.324911638981192,11.365249671128499,15.182712884792767,7.52225204603997,1.328149417410149,62.778,197.68019156256244,257.2136455928257,9.272396301821365,-1.1135121584484977
85,0.895,11.286830822565946,11.259406327010034,14.967819587659196,7.555819232390556,1.348592593934233,65.538,197.1050808242862,268.489957887937,9.24126151732127,-1.1078458974277379
86,0.895,11.35445364824705,11.377288984211114,15.152668994864982,6.458534756609496,1.3752336225866393,65.362,196.76965534349765,257.1712322516291,9.245913076613208,-1.1082964536401667
87,0.895,11.344195664740987,11.333963513718942,15.449642023560042,7.854425920965032,1.3760141118971077,65.616,218.17047617332912,447.40573443356055,9.238030289617042,-1.1065379939849622
88,0.895,11.383989118331266,11.425706602054875,14.931061984147707,7.676172194056644,1.3628920814096215,65.922,207.63158620136613,306.0589696662078,9.24739303675555,-1.1083665382758212
89,0.895,11.288986612461809,11.316624843207144,15.832837697165282,6.767490259526549,1.6973509394756907,66.476,253.65105676832013,521.0291097400601,9.253193317690048,-1.1134410206958119
90,0.947,11.332407412635026,11.232617870774998,15.421756702495436,7.493634437213201,1.527869322902755,66.886,232.29625511982064,489.62680673455094,9.22626439682313,-1.1065326383385046
91,0.947,11.43200848178675,11.48814870164918,15.600465376932105,7.086867554417847,1.6434064020965797,65.938,223.19637374978825,327.9603927050128,9.26452441671546,-1.1160143054510614
92,0.947,11.395411829613495,11.377339538729911,16.18045812688974,7.4366656070209425,1.4771253503019783,67.336,235.68979148365634,510.69901695323273,9.230237730413936,-1.106647712745255
93,0.947,11.351337375965343,11.326899958730056,15.243447976910142,7.796204015016229,1.4701792285208217,67.522,199.1207275965854,243.08444280672362,9.265324092924264,-1.1156220769306264
94,0.947,11.392504827009006,11.378480390489575,15.66318911604976,5.2398426043479125,1.6926987025559483,66.662,276.8481001212861,541.9312418497002,9.228551464668975,-1.1093356211024272
95,1.0,11.488507578036938,11.51704101018332,15.03185577502827,8.08235125465811,1.4088665983264048,68.296,191.2098836400471,226.15677129662882,9.258229497290712,-1.1138311559191372
96,1.0,11.417985377090842,11.335719564571782,16.173143004029427,6.762421285472173,1.5070101700262923,68.844,206.339350440446,320.3067379038492,9.261322809669233,-1.1153814508491173
97,1.0,11.351390405243816,11.411894036734456,15.99119034856725,6.832358258365115,1.6772064651608407,69.132,221.18005089817441,367.4568761702112,9.265307122564725,-1.1188547700681348
98,1.0,11.496623546151572,11.479028867902175,15.466558481180584,6.758044152419025,1.570190874415471,68.078,222.55813806232123,466.7787526666785,9.241483549355092,-1.1100597943812525
99,1.0,11.470158638391858,11.561306692313376,15.388380850787188,6.829631706561547,1.4746562071753344,68.856,224.75557471039386,572.2051944312957,9.240678621309161,-1.1095570366054883
