,ratio,mean_biomass,median_biomass,max_biomass,min_biomass,std_biomass,mean_patch_count,mean_mean_patch_size,std_mean_patch_size,ln_num_avg_patch_int,ln_num_avg_patch_slope
0,1.0,6.432742792349838,6.432578730433718,6.526121612871656,6.346389220913681,0.05092037401425294,1.242,8491.686166666668,2031.4884848363104,9.152999685747702,-1.0019163433141185
1,1.0,6.446413346687672,6.446779756067252,6.523804670722888,6.333912699051188,0.04470516806639899,1.332,8105.748666666666,2275.3290365408693,9.152164328364721,-1.0022738647612588
2,1.0,6.430558455302788,6.4300064167034305,6.520393026969609,6.332039584834258,0.04315823489207156,1.168,8722.583666666666,1760.8104425235242,9.151265212432898,-1.0033373170623208
3,1.0,6.419282987313825,6.42633321461533,6.501890613403368,6.327017709864346,0.041034071596701784,1.302,8088.934666666667,2185.871308034192,9.15164292253326,-1.0004528786187434
4,1.0,6.457230876585012,6.46621548034161,6.548900933970621,6.348209029375005,0.04706850808501939,1.318,8056.3465,2233.0633439307526,9.152434186126111,-1.0017317426081047
5,2.0,10.617380149630621,10.61688084865066,10.78403182698942,10.341711139699177,0.07615872439953549,1.532,7485.75139047619,2625.0329777590523,9.15686163437223,-1.0035754816313502
6,2.0,10.622065801262735,10.623832256591466,10.751700396468182,10.461005004046154,0.061993244572935355,1.576,7248.197633333333,2645.2246356825012,9.156854835971982,-1.0026456124067107
7,2.0,10.616592052891772,10.63044436191658,10.771095511069332,10.42567040362254,0.07646180631651503,1.66,7089.846433333333,2769.3795869027035,9.15640258633063,-1.004119644366914
8,2.0,10.594093117481338,10.592614877598756,10.72209794469942,10.456156934539662,0.0531018978772453,1.684,6823.9829666666665,2699.477087707992,9.157503984193756,-1.0026317458381266
9,2.0,10.589388287547823,10.589434632200783,10.732355168974808,10.429147407999597,0.06417203673820121,1.686,6902.390666666666,2711.2612984901816,9.157044417061615,-1.0036856427569183
10,3.0,13.378458815530472,13.394905603116865,13.913481350133672,12.775249546427116,0.1807150942668966,4.52,3028.738610043173,2291.220854598014,9.146216727905367,-1.0117093412799865
11,3.0,13.464648019205972,13.487036954345772,13.806028662164119,12.8102281967274,0.17664786506282254,4.204,3468.1946059301813,2599.60863329516,9.14999618557787,-1.0124313751168272
12,3.0,13.449390287241789,13.45222905816096,13.827107606522937,12.99368208495937,0.15688386385841863,4.296,3333.431538584291,2481.542527319149,9.149465792900369,-1.0119975002476649
13,3.0,13.455274896614293,13.472313937396972,13.73424442987286,13.045210272139425,0.13939351254401333,4.258,3293.251587484737,2415.2053058728493,9.147196853449579,-1.0101291875207188
14,3.0,13.446370224820702,13.453350766914657,13.862787681608808,12.991269078298064,0.1609035985188233,4.446,3160.34722991453,2356.273533953048,9.149256861356724,-1.0114016519847544
15,4.0,12.814479926904486,12.866546547305076,15.22499082397662,10.60356272007211,0.7784618870246375,29.02,488.9872790184426,638.861033343029,9.161364630438744,-1.0588618817299442
16,4.0,12.739795181312562,12.787868774537825,14.966081031785329,9.647677633012618,0.7858166978926987,29.534,502.93597298102003,679.9455524858914,9.153713873505872,-1.057574731807479
17,4.0,12.8207154402161,12.853535485159247,14.762336842054854,10.680132417857326,0.7380814896101509,29.554,451.35544870014485,471.07676455147674,9.170251371716256,-1.060927004747553
18,4.0,12.872460252674399,12.937889466890706,15.249212712611328,10.638353283180168,0.7809749876682439,29.046,480.25585796283906,629.3234348235505,9.163317506158375,-1.0579439680600604
19,4.0,12.836522684034135,12.89411164484466,14.775404283193703,10.330319997703091,0.7605547507836393,28.528,448.76838769231017,454.01341749290043,9.165578482768796,-1.0598163197551416
20,5.0,11.275619536526252,11.262590795066608,15.623770548253678,7.537382813553761,1.3932981455839828,60.808,325.4010384835782,866.1603014528953,9.168266796617619,-1.0881290616325496
21,5.0,11.304852121093848,11.312627413852745,15.228566247354244,8.034317910612142,1.2880980976949434,60.966,229.00962500998995,445.85073855566543,9.23392262700828,-1.1029479758500784
22,5.0,11.23605476013011,11.298208971154963,14.770998725127557,7.997757911231762,1.3338750390776952,61.896,281.72547873194424,608.4042988638089,9.185854888464627,-1.0926483453602032
23,5.0,11.171323075831559,11.184032396416278,14.794727137025195,7.954696586953857,1.3485468109851109,62.848,265.59156643945647,636.7364795378868,9.20818167161328,-1.097942394927285
24,5.0,11.277029762157957,11.257252866026072,16.27693435572936,7.066075014968142,1.3422575294224584,61.322,284.092348583137,679.70550635921,9.202201342178752,-1.0959823173967258
25,6.0,10.356976726632846,10.347057033541077,16.118751064568595,5.558915086050271,1.7961907858149104,82.332,195.31498879107784,365.2925032871017,9.280222058653246,-1.1295129039118612
26,6.0,10.458762005425633,10.522104593106318,15.03678734966995,5.644719731108543,1.6143208085978689,82.198,163.7092720917359,264.2241634158271,9.286082511438808,-1.1272936287258197
27,6.0,10.371611193139342,10.373952933595604,15.395474459779384,5.948824252955794,1.6501693972671352,83.004,175.2705724417994,286.8103268929404,9.269045236903578,-1.1249397863954695
28,6.0,10.314008452668302,10.199551527447536,15.344950367349645,6.261960760457145,1.7165690808904637,82.848,177.64446709441296,296.2486891526857,9.291133110779235,-1.132004921396293
29,6.0,10.367009055885223,10.391892375060511,14.972936362012662,5.773350483334681,1.804032426884019,82.528,196.62881539166887,451.3976514269634,9.266914359976054,-1.1259480329842715
30,7.0,9.839681133149126,9.715490165933375,14.730850159046717,5.416175853397861,1.9021671588984383,96.214,148.01300647052489,416.52257587296054,9.327451352130721,-1.1461965493201907
31,7.0,9.853945493598712,9.796314434689933,16.183174231981404,4.091617538632444,2.2050684311000714,96.196,178.8080448208904,461.6900945734032,9.332983172192035,-1.1506276112430966
32,7.0,9.867460945300165,9.790184228430537,16.054689151917195,4.776293725677519,2.0519888173537892,96.306,133.74173876092925,213.33594111416306,9.38835607265766,-1.1604339968432589
33,7.0,9.809823904203393,9.705733405350863,15.836431689277767,4.99238209876395,1.9786114092797915,94.834,134.6486187734392,212.5826953115554,9.375357016719677,-1.1579072428850785
34,7.0,9.787534978763022,9.575278384923305,17.052996823623793,5.170917559968825,2.047500739446873,96.592,150.57010252701807,239.82153926826348,9.353238130901612,-1.1547199994854833
35,8.0,9.439120991948803,9.298213093971576,16.30441910206688,3.8236264563175966,2.3196112416320998,107.918,164.15545258988232,558.9337038685395,9.346147098136349,-1.1585618752609521
36,8.0,9.594060212259377,9.601998869597036,16.006355285892678,3.871183978471323,2.2689753697794175,105.726,137.44276381680515,284.6973550795586,9.37405174722516,-1.1625899492028398
37,8.0,9.581092398327936,9.496644330026855,16.521304729726307,3.8606443530154597,2.2565711139731937,103.582,126.71851218149929,232.07938320167244,9.411651206460741,-1.171485065200006
38,8.0,9.459832124602451,9.3338109183074,17.01469764784505,4.252683898036176,2.085486146515293,104.738,133.4010343227314,288.49533477538967,9.361102589429441,-1.1600243261535532
39,8.0,9.535733557504798,9.312158193126084,16.340576098712887,4.58599994279082,2.2877202026067254,105.346,128.41639409888052,217.12843792554818,9.404418266875576,-1.1702512358071375
40,9.0,9.242326200575535,9.072556721849093,16.54050942879385,3.96594483598635,2.1850051158481567,113.28,131.39214444697186,335.0239016998641,9.318858861659082,-1.1536775046112477
41,9.0,9.244578107365271,9.325020213949056,14.883697498564775,3.840090536866324,2.24471304172071,112.134,100.717496769849,130.47808305786367,9.450586661542697,-1.1829755244824811
42,9.0,9.359457981438322,9.200417828470188,16.64362767865149,4.149956265139471,2.2141984959753067,112.964,137.78347193000053,464.8231917717167,9.315923888030024,-1.1518051683517079
43,9.0,9.391239920937826,9.170651060320424,17.070434931719927,4.131059209280985,2.7255063681820793,114.388,221.95850962285604,663.9320145165101,9.3193482031808,-1.1598687035581312
44,9.0,9.321698723953064,9.12410574094574,16.720188925848678,3.3051852411519853,2.7374122051700103,112.978,157.71216993789125,296.4190067683203,9.374425451682702,-1.171443597019771
45,10.0,9.171947351778373,9.043012156143302,18.43086162462774,3.1198829007484217,2.790381502743965,116.884,191.7510648818969,543.1755581272831,9.336789480882747,-1.167439756753365
46,10.0,9.121087827488816,8.802141445891024,16.508214435593334,3.6127675440372076,2.556283369772727,118.058,104.51372956370378,237.44488940157586,9.460888632163005,-1.1882972021241835
47,10.0,9.120139659351887,8.865433340502864,16.607533506648288,3.041873817608423,2.5886568755886903,119.05,140.2058672963364,433.29655573878114,9.384270713137845,-1.1732177372808033
48,10.0,9.089064251150965,8.963774636852088,16.792693166229892,3.964138955888596,2.4292876540609623,117.654,115.94970231953177,242.65447480742412,9.40091497938567,-1.1760843778764745
49,10.0,9.22679653538483,9.150495217531724,15.508515300065442,2.97291411524113,2.4606374987672965,117.032,102.51990779023338,146.07708831400032,9.450090230283095,-1.185769762463413
50,11.0,9.025955813804279,8.817588705881018,16.543400130714286,3.496448233981888,2.619199059849746,122.094,133.31024796619184,357.7150305557247,9.397649017525948,-1.1790899573085105
51,11.0,8.99506164574969,8.864765958111786,17.937918902614122,2.9828766037465484,2.533808151554818,123.41,123.01945061605969,454.60050119791015,9.363848254374165,-1.1696010682933708
52,11.0,9.084103046672437,8.867757555904774,16.863292718911392,3.0598609077704326,2.673910390632113,122.182,121.42158240651368,394.28170847012103,9.436553765412187,-1.1866791284055238
53,11.0,9.014373215411783,8.810332118452646,18.15634525515213,2.940392998607149,2.5898168330917013,122.544,127.98916275202413,407.34605080787134,9.391491078939099,-1.1770767247820633
54,11.0,9.159667183685372,8.953191528847169,18.342068169452876,3.899505012181202,2.4539978793586754,119.858,94.17863341339674,140.43065035852496,9.461161879658933,-1.1893408810054968
55,12.0,9.01607068470835,8.650064952931068,18.995291754563787,2.2672573699923313,2.987846801312804,126.074,114.6528376567316,204.01899056209515,9.461126994192881,-1.195205321729195
56,12.0,8.98929365320207,8.74187689885714,18.926095862274483,1.8464895276832867,2.913641329168084,125.472,131.5979893799713,334.51505756316624,9.400303134832345,-1.182779592724713
57,12.0,8.92733373144751,8.820047894056067,16.870097155365666,2.778789797005797,2.704894095376435,125.514,130.73803178981106,365.6558558457146,9.330492504200622,-1.1658044939681176
58,12.0,8.88550868793394,8.526407890416401,18.722349523909372,2.4835354698686167,3.0323941518778934,127.452,160.9240278501794,517.2699934447945,9.396125522280984,-1.1847546145810017
59,12.0,9.077883579613689,9.084016925126903,16.87626285114284,3.163366418162091,2.6694625654108473,124.14,102.718436551743,170.74638780885468,9.379122967924655,-1.1740210150818053
60,13.0,8.843401251552303,8.740426029418227,17.302968586297958,2.7461488777629253,2.8483841810207644,129.682,132.2858488899804,271.61765894050757,9.342149879293999,-1.172135914130396
61,13.0,8.970330066619692,8.78981360898717,16.560216728766797,3.3503399081403695,2.7215117435465417,127.838,125.31566196684417,391.4223963773971,9.365889044981483,-1.1749776002956036
62,13.0,8.927990243876197,8.767791934520902,17.505636267657547,3.1294514063924392,2.835877804678124,128.632,114.80016969261257,417.59850233307606,9.457383902416842,-1.194279637896245
63,13.0,8.921107577683603,8.67129116865917,17.904152767556564,3.1123049590080125,2.8140891346820767,126.648,86.35756260037772,116.09057739803234,9.56681057102146,-1.2175827562315327
64,13.0,8.82839551261771,8.56945174170377,16.907455262925122,2.9002580326284555,2.800680810865182,128.646,142.20615403101533,437.6972662108018,9.32985742158486,-1.16900249149514
65,14.0,8.84720367962181,8.622619290423472,18.22027681199573,2.4997278363997424,3.042057910217443,132.89,118.26807143706252,234.89379588073592,9.412681485490628,-1.1888267678711555
66,14.0,8.906695005558428,8.685504484987247,17.343918021007738,3.675211970463609,2.6015087849165184,130.486,88.81910727854589,160.2245295728801,9.43804734746142,-1.1888629143138594
67,14.0,8.887277268135893,8.651321768243868,18.0049657716882,3.355747879034138,2.534890019796316,128.71,99.8715565069966,273.2725604703299,9.393209115999076,-1.179518036839785
68,14.0,8.793402581528287,8.565810755437742,17.42179862394537,2.1960879678450125,3.007750066938853,131.354,101.32616479228807,183.7369238600444,9.508832820367527,-1.2094628397978036
69,14.0,8.919773313544324,8.779110499121058,19.828922777212142,2.0046573095173663,3.3917765924336445,133.676,161.22982070784295,387.9628054337416,9.379039760952487,-1.1850539950271084
70,15.0,8.844994888160716,8.617917432486443,19.33157815212197,1.910282312576401,3.0133739349232687,134.418,122.41373520119916,276.68192336957804,9.403506046522411,-1.1879683850613854
71,15.0,8.922242796974412,8.671321355341831,18.56019933162887,1.759679451955087,3.1793693811096024,133.904,187.9275394468755,618.7104128838722,9.287830510589464,-1.1645586313751333
72,15.0,8.84796374678364,8.691225105703925,20.506600913180147,1.764608616625677,3.253071594340122,135.472,125.94124483175925,273.01385100795505,9.424899734233202,-1.1941865935729943
73,15.0,8.735754928369236,8.553328508226734,19.635548224295267,2.5355578721973027,3.1935361491188776,134.88,121.18654112020731,336.06825471910685,9.477509077548241,-1.2056785908006329
74,15.0,8.820205964737768,8.42080763202376,17.99527818968461,2.380986682352664,2.8877296164533965,133.912,88.39133015920605,158.066010692013,9.464063565393904,-1.1970700129346603
75,16.0,8.774751645876915,8.570211903433023,18.87848782753163,2.4471392299035566,2.8380270134807204,134.522,100.60135624955531,208.53700680496578,9.373224530614882,-1.179265394175705
76,16.0,8.800090980798064,8.517302174468766,19.1972079756585,2.518873501644088,3.20058718204285,137.726,171.87988193886105,543.7205835090821,9.295179985912972,-1.1666744747107411
77,16.0,8.897810816842554,8.625255514568142,21.34080393195787,1.1517673214068596,3.4500065655655936,136.044,119.45550999952081,209.20614532677362,9.435091691349047,-1.1985602987601987
78,16.0,8.960993640937334,8.680407582449657,19.159593709823017,2.5862955673520323,3.1723685668410044,134.164,128.626128025676,332.9541013434461,9.375921235773637,-1.183146940351474
79,16.0,8.773626349718507,8.487199770902118,18.184536420537675,2.781399018225449,2.9951430170660194,136.62,114.21260340057054,220.19470788203205,9.364026981126825,-1.1795434761370394
80,17.0,8.565085380130911,8.292279852311644,18.123531718959633,2.4715180324743384,3.073168967184567,137.936,144.04264205766034,551.5465639262889,9.340671648106136,-1.177189697839444
81,17.0,8.981110424428895,8.83680513497147,17.576894799641725,2.3600278280574636,2.90792200196474,134.824,86.32473170972129,141.3888144001394,9.39933507066606,-1.1832665125907744
82,17.0,8.770200922662777,8.520013279651364,21.200095628419493,1.1692509646982912,3.4777291581071896,138.018,134.2585303848043,507.3602517643735,9.430533250801021,-1.1978301270118248
83,17.0,8.765787409874841,8.527017075911205,18.081974929954995,2.6550109224891623,2.9471828735973653,135.994,95.32930243706336,181.9596796237875,9.373565696564555,-1.179774471293542
84,17.0,8.682791298199056,8.435018923474889,16.856999902238535,3.20594226837146,2.8045301906238223,137.916,78.62048106085976,189.05413545057576,9.45774497495276,-1.1960572011623969
85,18.0,8.799772185095431,8.274790702369785,22.139638869259812,1.7066700252665288,3.6396007362802756,142.748,223.25351868525854,841.4618814897559,9.34799991143931,-1.1848913474857306
86,18.0,8.705184270867884,8.501902998123569,18.823266739860752,2.2863074062583424,2.8653262633857284,137.326,89.24073933217939,159.56501945538974,9.402435360891982,-1.1870012291137098
87,18.0,8.863563469819615,8.417305033246326,20.98920403476902,2.4870804033370972,3.5241534580721825,138.878,193.0075113451645,638.812430308458,9.351578701216964,-1.1837676079355246
88,18.0,8.912072517555014,8.801390748066524,18.59029863809536,1.9626349523897872,3.450515891990953,138.996,140.51134052946603,306.2496655731244,9.375589456117778,-1.1871466681556264
89,18.0,8.87474162368287,8.610703512072892,20.12170419490213,1.7847212102864773,3.7786702645560326,139.268,169.43708806364788,500.55257867740283,9.39314595802243,-1.1944459867429957
90,19.0,8.939293150646359,8.682419570575835,21.977031381185153,1.9302664372055773,3.4276025029322277,139.856,133.48286092489235,474.6911755470018,9.383005641580054,-1.1865373909625119
91,19.0,8.835662465174872,8.474190772145505,17.938156731394884,2.6230173772131513,2.9509787123339746,137.706,98.3641474031417,196.56518580707603,9.346899397088833,-1.17548269239728
92,19.0,8.812140577844799,8.529455115930904,20.532244047732295,1.623151772715437,3.2925081877930595,138.622,146.28566259690822,544.3527744085488,9.344679194060001,-1.1786822207542451
93,19.0,8.828499943823024,8.582651992285808,22.1986753391895,2.0464231458233915,3.372511623600367,138.694,129.49224739083567,454.23797813555086,9.368796285829287,-1.1828551363104287
94,19.0,8.69800332984978,8.4101605037641,20.371943712124466,1.865002960462773,3.0746255255147386,139.958,112.69741737221656,451.1135223161139,9.360234585894503,-1.1786409379800262
95,20.0,8.839821487238346,8.509160096480493,21.006402112115193,1.8416373817329876,3.4179213957669794,138.628,136.49513045209406,367.3862879156269,9.396721589283311,-1.1921846484451368
96,20.0,8.80549525705075,8.468997551502373,19.83801242360136,2.3496769986794273,3.1679542726322594,141.016,135.4459737893142,473.8573872884164,9.352430825397454,-1.1796941844270439
97,20.0,8.926495616221295,8.618716605001826,20.26086817286912,2.0498591350551063,3.2344610660447697,139.506,102.83524677333224,211.72500718108503,9.37339145017543,-1.181721237083732
98,20.0,8.803209736495187,8.548462772605937,20.538616974296957,2.5040540644614366,3.1346168360225746,140.366,110.89287532804144,268.9999999116455,9.342267116180478,-1.1769366943931736
99,20.0,8.794368266134459,8.778967536093894,22.13951084786668,2.603051047331164,3.0778078432086473,139.824,116.70213820014258,363.26384233136406,9.366235278579843,-1.181268222379484
